label,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,d4,d18,d9,d12,d23,d1,d3,d17,d24,d13,d6,d15,d7,d26,d16,d20,d2,d10,d25,d14,d21,d5,d19,d22,d8,d11
0,-9999,37,8,28,5808,89,1,39,88,-9999,1,-9999,28,1849453.0,241.0,2.0,7802430.0,2.0,31.0,8698780.0,8.0,161352.0,2237.0,0.0,14880.0,8368.0,90783.0,1297458.0,3.0,91.0,17562.0,92.0,2.0,99733.0,92.0,953.0,12.0,24.0,3959.0
0,-9999,1,5,2,37451,-9999,-9999,11,-9999,-9999,-9999,-9999,2,123219.0,466.0,2.0,6094430.0,2.0,1066.0,5715050.0,9.0,102284.0,1957.0,9.0,1428.0,8891.0,72510.0,1026537.0,2.0,74.0,49999.0,1.0,20.0,1087159.0,43.0,275.0,0.0,24.0,661.0
0,-9999,-1,-9999,-9999,10179,-9999,0,1,4,-9999,0,-9999,-9999,1783745.0,2572.0,2.0,4985829.0,3.0,629.0,1113101.0,1.0,223911.0,472.0,10.0,3460.0,2457.0,26683.0,4651650.0,1.0,486.0,21414.0,92.0,2.0,1728439.0,43.0,275.0,0.0,24.0,2002.0
0,1,67,100,3,188,23,1,32,23,1,1,-9999,23,13566.0,4205.0,2.0,7761619.0,3.0,539.0,3304269.0,8.0,29077.0,50.0,10.0,5794.0,4517.0,20446.0,1682121.0,3.0,210.0,46977.0,65.0,18.0,6246823.0,43.0,761.0,0.0,228.0,2525.0
0,-9999,-1,-9999,-9999,40953,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,692059.0,2743.0,0.0,5746608.0,2.0,629.0,5997689.0,8.0,71047.0,36.0,0.0,8074.0,3742.0,40927.0,3551711.0,2.0,185.0,77428.0,1.0,18.0,3014017.0,43.0,1450.0,0.0,24.0,3120.0
0,-9999,142,-9999,-9999,247135,-9999,0,2,2,-9999,0,-9999,-9999,1883772.0,2614.0,0.0,5496126.0,2.0,31.0,2843890.0,9.0,116915.0,36.0,10.0,2811.0,3742.0,26683.0,4817454.0,3.0,16.0,34985.0,1.0,18.0,3179583.0,43.0,275.0,0.0,24.0,3120.0
0,0,4,4,2,1372,8,5,9,12,0,2,-9999,2,1785703.0,2970.0,2.0,4598165.0,10.0,336.0,25072.0,9.0,211015.0,1172.0,23.0,10017.0,181.0,91020.0,4418589.0,2.0,91.0,49205.0,92.0,26.0,6248292.0,43.0,712.0,14.0,24.0,1105.0
1,-9999,22,1,1,2939,5,11,5,42,-9999,7,0,1,1349167.0,5254.0,2.0,6189055.0,4.0,788.0,2468267.0,4.0,157665.0,2391.0,23.0,1421.0,6767.0,0.0,1952540.0,0.0,308.0,21414.0,0.0,4.0,751529.0,43.0,0.0,0.0,80.0,4188.0
1,-9999,-1,17,11,3081,13,50,10,26,-9999,2,-9999,11,703609.0,3325.0,2.0,7611462.0,2.0,31.0,3886359.0,9.0,239306.0,1414.0,0.0,4645.0,9901.0,99706.0,3659402.0,1.0,11.0,75060.0,92.0,4.0,6560004.0,109.0,275.0,0.0,80.0,855.0
0,2,112,-9999,8,1416,58,4,39,45,0,1,-9999,8,1743211.0,5490.0,2.0,6303992.0,2.0,31.0,9964511.0,9.0,19296.0,318.0,23.0,10257.0,9666.0,0.0,3656423.0,0.0,130.0,38779.0,0.0,2.0,412810.0,109.0,0.0,12.0,24.0,1190.0
